keyword,eos_count,eos_rate_pct,non_eos_count,non_eos_rate_pct,total_count,eos_specificity
data,6,0.169,85,0.82,91,-0.6509999999999999
working,22,0.62,68,0.656,90,-0.03600000000000003
sleep,11,0.31,79,0.762,90,-0.452
meter,24,0.676,66,0.637,90,0.039000000000000035
screen,25,0.705,62,0.598,87,0.10699999999999998
electronics,10,0.282,77,0.743,87,-0.461
wire,0,0.0,87,0.84,87,-0.84
mb96f613abpmc,61,1.719,26,0.251,87,1.468
bond,0,0.0,86,0.83,86,-0.83
pin short,58,1.635,28,0.27,86,1.365
vext,71,2.001,11,0.106,82,1.8949999999999998
hakuto ref,15,0.423,67,0.647,82,-0.22400000000000003
denso ref,15,0.423,67,0.647,82,-0.22400000000000003
internal,29,0.817,53,0.512,82,0.30499999999999994
marelli,19,0.536,61,0.589,80,-0.052999999999999936
n2e1,40,1.127,38,0.367,78,0.76
wire bond,0,0.0,78,0.753,78,-0.753
bond lifted,0,0.0,78,0.753,78,-0.753
off issue,0,0.0,78,0.753,78,-0.753
ground,64,1.804,13,0.125,77,1.679
signal abnormal,10,0.282,67,0.647,77,-0.36500000000000005
issue suspected,0,0.0,77,0.743,77,-0.743
problem,19,0.536,56,0.54,75,-0.0040000000000000036
vddp3,61,1.719,13,0.125,74,1.594
write,7,0.197,67,0.647,74,-0.45
black,25,0.705,45,0.434,70,0.27099999999999996
abnormal output,13,0.366,57,0.55,70,-0.18400000000000005
mode,11,0.31,59,0.569,70,-0.25899999999999995
missing,2,0.056,67,0.647,69,-0.591
low impedance,51,1.437,18,0.174,69,1.2630000000000001
value,22,0.62,47,0.454,69,0.16599999999999998
bent lead,0,0.0,68,0.656,68,-0.656
out,15,0.423,53,0.512,68,-0.08900000000000002
bahn,7,0.197,61,0.589,68,-0.39199999999999996
wien,6,0.169,61,0.589,67,-0.41999999999999993
level,25,0.705,42,0.405,67,0.29999999999999993
mobis,14,0.395,53,0.512,67,-0.11699999999999999
bahn wien,6,0.169,61,0.589,67,-0.41999999999999993
bitech,21,0.592,45,0.434,66,0.15799999999999997
electric,14,0.395,52,0.502,66,-0.10699999999999998
sample,22,0.62,44,0.425,66,0.195
panasonic,5,0.141,60,0.579,65,-0.43799999999999994
device,14,0.395,51,0.492,65,-0.09699999999999998
ten,23,0.648,42,0.405,65,0.243
mitsubishi,9,0.254,55,0.531,64,-0.277
operation,6,0.169,58,0.56,64,-0.391
input,17,0.479,47,0.454,64,0.024999999999999967
ate,13,0.366,50,0.483,63,-0.11699999999999999
shorted,48,1.353,15,0.145,63,1.208
temperature,2,0.056,61,0.589,63,-0.5329999999999999
pflash,0,0.0,62,0.598,62,-0.598
mark,3,0.085,59,0.569,62,-0.48399999999999993
when,15,0.423,47,0.454,62,-0.031000000000000028
boar,6,0.169,56,0.54,62,-0.371
mobis cluster,13,0.366,48,0.463,61,-0.09700000000000003
gte1,34,0.958,27,0.261,61,0.697
read,8,0.225,53,0.512,61,-0.28700000000000003
innolux,33,0.93,27,0.261,60,0.669
ecc,2,0.056,58,0.56,60,-0.504
ecu,12,0.338,48,0.463,60,-0.125
tokai rika,14,0.395,46,0.444,60,-0.04899999999999999
rika,14,0.395,46,0.444,60,-0.04899999999999999
tokai,14,0.395,46,0.444,60,-0.04899999999999999
stanley,15,0.423,44,0.425,59,-0.0020000000000000018
audi,9,0.254,49,0.473,58,-0.21899999999999997
leakage,15,0.423,42,0.405,57,0.01799999999999996
supply,36,1.015,21,0.203,57,0.8119999999999998
spi,4,0.113,53,0.512,57,-0.399
unit,6,0.169,51,0.492,57,-0.32299999999999995
anomaly,20,0.564,36,0.347,56,0.21699999999999997
p33,15,0.423,41,0.396,56,0.02699999999999997
short between,38,1.071,17,0.164,55,0.9069999999999999
stuck,5,0.141,50,0.483,55,-0.34199999999999997
nok,7,0.197,48,0.463,55,-0.266
uje1,11,0.31,43,0.415,54,-0.10499999999999998
smu,1,0.028,53,0.512,54,-0.484
bcmw,36,1.015,18,0.174,54,0.841
yazaki,18,0.507,36,0.347,54,0.16000000000000003
driving,50,1.409,4,0.039,54,1.37
foryou,7,0.197,47,0.454,54,-0.257
s6j336chtbsc20000,5,0.141,49,0.473,54,-0.33199999999999996
vcc,44,1.24,9,0.087,53,1.153
output abnormal,5,0.141,48,0.463,53,-0.32200000000000006
autron,11,0.31,42,0.405,53,-0.09500000000000003
start,7,0.197,46,0.444,53,-0.247
hyundai mobis,5,0.141,48,0.463,53,-0.32200000000000006
lead bent,1,0.028,51,0.492,52,-0.46399999999999997
bcmw reported,35,0.986,17,0.164,52,0.822
module,11,0.31,41,0.396,52,-0.08600000000000002
tde,17,0.479,35,0.338,52,0.14099999999999996
check,6,0.169,45,0.434,51,-0.265
feldausfall,45,1.268,6,0.058,51,1.21
hyundai autron,9,0.254,42,0.405,51,-0.15100000000000002
erase,7,0.197,44,0.425,51,-0.22799999999999998
continental,9,0.254,41,0.396,50,-0.14200000000000002
yanfeng,11,0.31,39,0.376,50,-0.066
output signal,9,0.254,40,0.386,49,-0.132
memory,1,0.028,48,0.463,49,-0.435
gsk5e1,10,0.282,39,0.376,49,-0.09400000000000003
denso ten,11,0.31,38,0.367,49,-0.056999999999999995
portugal,3,0.085,46,0.444,49,-0.359
hilfskontakte,0,0.0,48,0.463,48,-0.463
aurix,11,0.31,37,0.357,48,-0.046999999999999986
electrical,9,0.254,39,0.376,48,-0.122
unters,0,0.0,48,0.463,48,-0.463
one,12,0.338,36,0.347,48,-0.008999999999999952
unters hilfskontakte,0,0.0,48,0.463,48,-0.463
black screen,17,0.479,31,0.299,48,0.18
cyat81688,9,0.254,39,0.376,48,-0.122
all,9,0.254,38,0.367,47,-0.11299999999999999
car,15,0.423,32,0.309,47,0.11399999999999999
inc,12,0.338,35,0.338,47,0.0
test fail,11,0.31,36,0.347,47,-0.03699999999999998
leads,0,0.0,46,0.444,46,-0.444
yazaki meter,15,0.423,31,0.299,46,0.124
communication error,9,0.254,37,0.357,46,-0.10299999999999998
functional,7,0.197,39,0.376,46,-0.179
function fail,11,0.31,35,0.338,46,-0.028000000000000025
showed,11,0.31,35,0.338,46,-0.028000000000000025
low resistance,25,0.705,21,0.203,46,0.502
component,3,0.085,43,0.415,46,-0.32999999999999996
far,13,0.366,32,0.309,45,0.056999999999999995
production line,10,0.282,35,0.338,45,-0.05600000000000005
proc,45,1.268,0,0.0,45,1.268
ltd,20,0.564,25,0.241,45,0.32299999999999995
driving proc,45,1.268,0,0.0,45,1.268
parts,5,0.141,39,0.376,44,-0.23500000000000001
output abnormality,5,0.141,39,0.376,44,-0.23500000000000001
fault,6,0.169,38,0.367,44,-0.19799999999999998
lbist,5,0.141,38,0.367,43,-0.226
communication failure,13,0.366,30,0.29,43,0.07600000000000001
anden,7,0.197,36,0.347,43,-0.14999999999999997
doesn,12,0.338,31,0.299,43,0.039000000000000035
ball,12,0.338,31,0.299,43,0.039000000000000035
micro,10,0.282,33,0.319,43,-0.03700000000000003
sleep current,4,0.113,39,0.376,43,-0.263
systems,4,0.113,39,0.376,43,-0.263
unable,5,0.141,37,0.357,42,-0.216
yanfeng visteon,9,0.254,33,0.319,42,-0.065
cp9053at,0,0.0,42,0.405,42,-0.405
autron cluster,5,0.141,37,0.357,42,-0.216
sanda,1,0.028,41,0.396,42,-0.368
wiring systems,4,0.113,37,0.357,41,-0.244
wiring,4,0.113,37,0.357,41,-0.244
clock,1,0.028,40,0.386,41,-0.358
field return,13,0.366,28,0.27,41,0.09599999999999997
port,7,0.197,34,0.328,41,-0.131
microcontroller,8,0.225,33,0.319,41,-0.094
preh,8,0.225,33,0.319,41,-0.094
mitsubishi sanda,1,0.028,40,0.386,41,-0.358
jtag,11,0.31,29,0.28,40,0.02999999999999997
see,13,0.366,27,0.261,40,0.10499999999999998
f4e1,2,0.056,38,0.367,40,-0.311
shanghai,22,0.62,18,0.174,40,0.446
nissan,7,0.197,33,0.319,40,-0.122
short failure,30,0.846,10,0.097,40,0.749
bit,0,0.0,40,0.386,40,-0.386
consumption,9,0.254,31,0.299,40,-0.044999999999999984
project,6,0.169,33,0.319,39,-0.15
pioneer,1,0.028,38,0.367,39,-0.33899999999999997
p00,16,0.451,23,0.222,39,0.229
lockstep error,9,0.254,30,0.29,39,-0.035999999999999976
zero,3,0.085,36,0.347,39,-0.26199999999999996
corporation,6,0.169,32,0.309,38,-0.13999999999999999
dtc,4,0.113,34,0.328,38,-0.21500000000000002
discoloration,0,0.0,38,0.367,38,-0.367
please,4,0.113,34,0.328,38,-0.21500000000000002
alarm,0,0.0,38,0.367,38,-0.367
sumitomo,4,0.113,34,0.328,38,-0.21500000000000002
too,12,0.338,26,0.251,38,0.08700000000000002
package,5,0.141,33,0.319,38,-0.17800000000000002
wrong,2,0.056,36,0.347,38,-0.291
ict,18,0.507,20,0.193,38,0.314
vddd,29,0.817,9,0.087,38,0.73
output waveform,6,0.169,32,0.309,38,-0.13999999999999999
vddm,29,0.817,8,0.077,37,0.74
visteon report,27,0.761,10,0.097,37,0.664
pin1,23,0.648,14,0.135,37,0.513
ate test,9,0.254,28,0.27,37,-0.016000000000000014
juno,4,0.113,33,0.319,37,-0.20600000000000002
esr0,4,0.113,33,0.319,37,-0.20600000000000002
foreign,0,0.0,37,0.357,37,-0.357
signals,9,0.254,27,0.261,36,-0.007000000000000006
operation malfunction,4,0.113,32,0.309,36,-0.196
fixed,8,0.225,28,0.27,36,-0.04500000000000001
vss short,33,0.93,3,0.029,36,0.901
s5000,3,0.085,33,0.319,36,-0.23399999999999999
connect,6,0.169,29,0.28,35,-0.11100000000000002
s6j334,4,0.113,31,0.299,35,-0.186
temp,3,0.085,32,0.309,35,-0.22399999999999998
cp8791bt,0,0.0,35,0.338,35,-0.338
bitech report,12,0.338,23,0.222,35,0.11600000000000002
inop,4,0.113,31,0.299,35,-0.186
asti,26,0.733,9,0.087,35,0.646
controller,16,0.451,19,0.183,35,0.268
s6j324,19,0.536,16,0.154,35,0.382
renault,0,0.0,35,0.338,35,-0.338
faulty,2,0.056,32,0.309,34,-0.253
fails,6,0.169,28,0.27,34,-0.101
s6j334 failed,4,0.113,30,0.29,34,-0.177
debug,10,0.282,24,0.232,34,0.04999999999999996
core,8,0.225,26,0.251,34,-0.025999999999999995
output error,3,0.085,31,0.299,34,-0.21399999999999997
code,1,0.028,33,0.319,34,-0.291
proj,22,0.62,12,0.116,34,0.504
pcs s6j334,4,0.113,30,0.29,34,-0.177
correct,0,0.0,33,0.319,33,-0.319
porst,9,0.254,24,0.232,33,0.021999999999999992
visteon portugal,0,0.0,33,0.319,33,-0.319
bwm,3,0.085,30,0.29,33,-0.20499999999999996
product,4,0.113,28,0.27,32,-0.15700000000000003
returned,12,0.338,20,0.193,32,0.14500000000000002
power supply,16,0.451,16,0.154,32,0.29700000000000004
surface,0,0.0,32,0.309,32,-0.309
turn,4,0.113,28,0.27,32,-0.15700000000000003
register,3,0.085,29,0.28,32,-0.195
current consumption,9,0.254,23,0.222,32,0.032
bnd,13,0.366,19,0.183,32,0.183
possible,12,0.338,20,0.193,32,0.14500000000000002
dnph,4,0.113,28,0.27,32,-0.15700000000000003
suzhou,5,0.141,26,0.251,31,-0.11000000000000001
leak,5,0.141,26,0.251,31,-0.11000000000000001
dflash,1,0.028,30,0.29,31,-0.26199999999999996
vdd short,27,0.761,4,0.039,31,0.722
suspect,4,0.113,27,0.261,31,-0.14800000000000002
alps,14,0.395,17,0.164,31,0.231
mb91f071fhepmc,20,0.564,11,0.106,31,0.45799999999999996
mb90f037jdspmc,6,0.169,25,0.241,31,-0.07199999999999998
communication fail,5,0.141,26,0.251,31,-0.11000000000000001
waveform abnormality,4,0.113,27,0.261,31,-0.14800000000000002
fei,4,0.113,27,0.261,31,-0.14800000000000002
converter,0,0.0,31,0.299,31,-0.299
drop,5,0.141,26,0.251,31,-0.11000000000000001
fujitsu,2,0.056,28,0.27,30,-0.21400000000000002
fiel,3,0.085,27,0.261,30,-0.176
cy8ctma461as,0,0.0,30,0.29,30,-0.29
bitech reported,8,0.225,22,0.212,30,0.013000000000000012
normal,5,0.141,25,0.241,30,-0.1
daimler,3,0.085,27,0.261,30,-0.176
pin23,20,0.564,10,0.097,30,0.46699999999999997
conti,9,0.254,21,0.203,30,0.05099999999999999
case,3,0.085,27,0.261,30,-0.176
damage,12,0.338,18,0.174,30,0.16400000000000003
i2c,10,0.282,20,0.193,30,0.08899999999999997
cy8c4014lqa,14,0.395,16,0.154,30,0.24100000000000002
nicht,6,0.169,24,0.232,30,-0.063
eol,4,0.113,25,0.241,29,-0.128
resets,2,0.056,27,0.261,29,-0.20500000000000002
futureelectronics,6,0.169,23,0.222,29,-0.05299999999999999
part,5,0.141,24,0.232,29,-0.09100000000000003
alle,17,0.479,12,0.116,29,0.363
ram,1,0.028,28,0.27,29,-0.24200000000000002
customers,25,0.705,4,0.039,29,0.6659999999999999
stanley electric,7,0.197,22,0.212,29,-0.014999999999999986
tyw,6,0.169,23,0.222,29,-0.05299999999999999
tape,0,0.0,29,0.28,29,-0.28
abnormal resistance,18,0.507,11,0.106,29,0.401
spec,7,0.197,22,0.212,29,-0.014999999999999986
field failure,12,0.338,17,0.164,29,0.17400000000000002
tft,2,0.056,27,0.261,29,-0.20500000000000002
boot,3,0.085,25,0.241,28,-0.15599999999999997
suzhou report,5,0.141,23,0.222,28,-0.08100000000000002
detected,8,0.225,20,0.193,28,0.032
abnormal signal,4,0.113,24,0.232,28,-0.11900000000000001
shenzhen,5,0.141,23,0.222,28,-0.08100000000000002
cpu,3,0.085,25,0.241,28,-0.15599999999999997
output voltage,2,0.056,26,0.251,28,-0.195
customers return,24,0.676,4,0.039,28,0.637
pioneer cy8ctma461as,0,0.0,28,0.27,28,-0.27
malfunction reset,0,0.0,28,0.27,28,-0.27
esd,24,0.676,4,0.039,28,0.637
shanghai visteon,22,0.62,6,0.058,28,0.5619999999999999
yna,6,0.169,22,0.212,28,-0.04299999999999998
verification,1,0.028,27,0.261,28,-0.233
igbt,14,0.395,13,0.125,27,0.27
bandgap,0,0.0,27,0.261,27,-0.261
programmed,9,0.254,18,0.174,27,0.08000000000000002
harman,4,0.113,23,0.222,27,-0.109
jae,6,0.169,21,0.203,27,-0.034
contamination,0,0.0,27,0.261,27,-0.261
connection,3,0.085,24,0.232,27,-0.14700000000000002
without,4,0.113,23,0.222,27,-0.109
gwm,4,0.113,23,0.222,27,-0.109
fujitsu ref,1,0.028,26,0.251,27,-0.223
hsae,11,0.31,16,0.154,27,0.156
vssd,19,0.536,8,0.077,27,0.459
mb96f646rbpmc,8,0.225,19,0.183,27,0.04200000000000001
blank,2,0.056,25,0.241,27,-0.185
ota,10,0.282,17,0.164,27,0.11799999999999997
requested,4,0.113,23,0.222,27,-0.109
s433,7,0.197,20,0.193,27,0.0040000000000000036
wake,5,0.141,22,0.212,27,-0.07100000000000001
voltage abnormal,7,0.197,20,0.193,27,0.0040000000000000036
legs,0,0.0,27,0.261,27,-0.261
crack,0,0.0,26,0.251,26,-0.251
omron,1,0.028,25,0.241,26,-0.213
lock,0,0.0,26,0.251,26,-0.251
geely,13,0.366,13,0.125,26,0.241
tsmt,1,0.028,25,0.241,26,-0.213
mb91f057pmc,10,0.282,16,0.154,26,0.12799999999999997
shenzhen stanley,5,0.141,21,0.203,26,-0.06200000000000003
lin,4,0.113,22,0.212,26,-0.09899999999999999
technology,11,0.31,15,0.145,26,0.165
between pin,18,0.507,8,0.077,26,0.43
defective,6,0.169,20,0.193,26,-0.023999999999999994
comm,8,0.225,18,0.174,26,0.05100000000000002
about,6,0.169,20,0.193,26,-0.023999999999999994
cold,1,0.028,25,0.241,26,-0.213
magneti,5,0.141,20,0.193,25,-0.05200000000000002
pcba,8,0.225,17,0.164,25,0.061
short fail,19,0.536,6,0.058,25,0.47800000000000004
feldausfall proj,21,0.592,4,0.039,25,0.5529999999999999
germany,1,0.028,24,0.232,25,-0.20400000000000001
market,21,0.592,4,0.039,25,0.5529999999999999
magneti marelli,5,0.141,20,0.193,25,-0.05200000000000002
discolor,0,0.0,25,0.241,25,-0.241
electric wiring,4,0.113,21,0.203,25,-0.09000000000000001
touch function,7,0.197,18,0.174,25,0.02300000000000002
failures,4,0.113,21,0.203,25,-0.09000000000000001
market customers,21,0.592,4,0.039,25,0.5529999999999999
crc,0,0.0,25,0.241,25,-0.241
non,1,0.028,24,0.232,25,-0.20400000000000001
sumitomo electric,4,0.113,21,0.203,25,-0.09000000000000001
ecc error,2,0.056,23,0.222,25,-0.166
uncorrectable,0,0.0,25,0.241,25,-0.241
over,4,0.113,21,0.203,25,-0.09000000000000001
systems inc,4,0.113,20,0.193,24,-0.08
low voltage,9,0.254,15,0.145,24,0.10900000000000001
w20,23,0.648,1,0.01,24,0.638
cpu1,1,0.028,23,0.222,24,-0.194
resistance abnormal,15,0.423,9,0.087,24,0.33599999999999997
circuit between,22,0.62,2,0.019,24,0.601
burn,6,0.169,18,0.174,24,-0.004999999999999977
pcs s6j324,17,0.479,7,0.068,24,0.411
thai,4,0.113,20,0.193,24,-0.08
light,7,0.197,17,0.164,24,0.033
mb91f061bspmc1,8,0.225,16,0.154,24,0.07100000000000001
kurzschluss,19,0.536,5,0.048,24,0.48800000000000004
apply,11,0.31,13,0.125,24,0.185
errors,1,0.028,23,0.222,24,-0.194
one pcs,4,0.113,20,0.193,24,-0.08
observed,4,0.113,20,0.193,24,-0.08
s6j324 failed,17,0.479,7,0.068,24,0.411
cy8c4125lqs,6,0.169,18,0.174,24,-0.004999999999999977
incorrect,2,0.056,21,0.203,23,-0.14700000000000002
sleep mode,6,0.169,17,0.164,23,0.0050000000000000044
application,3,0.085,20,0.193,23,-0.108
feedback,2,0.056,21,0.203,23,-0.14700000000000002
programming failure,3,0.085,20,0.193,23,-0.108
confirmed,7,0.197,16,0.154,23,0.04300000000000001
version,0,0.0,23,0.222,23,-0.222
booting,5,0.141,18,0.174,23,-0.033
byd,14,0.395,9,0.087,23,0.30800000000000005
adc bandgap,0,0.0,23,0.222,23,-0.222
locked,1,0.028,22,0.212,23,-0.184
always,12,0.338,10,0.097,22,0.24100000000000002
abnormal voltage,3,0.085,19,0.183,22,-0.09799999999999999
pcb,10,0.282,12,0.116,22,0.16599999999999998
tesla,1,0.028,21,0.203,22,-0.17500000000000002
down,11,0.31,11,0.106,22,0.20400000000000001
mb90f037jds,5,0.141,17,0.164,22,-0.02300000000000002
correctly,1,0.028,21,0.203,22,-0.17500000000000002
pin output,1,0.028,21,0.203,22,-0.17500000000000002
sensor,3,0.085,19,0.183,22,-0.09799999999999999
aisin,5,0.141,17,0.164,22,-0.02300000000000002
cy8ctma616aa,7,0.197,15,0.145,22,0.05200000000000002
func,2,0.056,20,0.193,22,-0.137
control,9,0.254,13,0.125,22,0.129
trap,2,0.056,20,0.193,22,-0.137
flash memory,0,0.0,22,0.212,22,-0.212
lift,0,0.0,22,0.212,22,-0.212
toyota,1,0.028,21,0.203,22,-0.17500000000000002
nidec mobility,4,0.113,17,0.164,21,-0.051000000000000004
nidec,4,0.113,17,0.164,21,-0.051000000000000004
failu,8,0.225,13,0.125,21,0.1
failing,1,0.028,20,0.193,21,-0.165
reel,0,0.0,21,0.203,21,-0.203
bit error,0,0.0,21,0.203,21,-0.203
mobility,4,0.113,17,0.164,21,-0.051000000000000004
fehler,0,0.0,21,0.203,21,-0.203
west,9,0.254,12,0.116,21,0.138
debris,0,0.0,21,0.203,21,-0.203
lle,15,0.423,6,0.058,21,0.365
p02,4,0.113,17,0.164,21,-0.051000000000000004
defekt,8,0.225,13,0.125,21,0.1
spi communication,1,0.028,20,0.193,21,-0.165
yellow,0,0.0,21,0.203,21,-0.203
lost,11,0.31,10,0.097,21,0.213
vehicle,3,0.085,18,0.174,21,-0.08899999999999998
display error,0,0.0,21,0.203,21,-0.203
chip legs,0,0.0,20,0.193,20,-0.193
communicate,0,0.0,20,0.193,20,-0.193
txd,5,0.141,15,0.145,20,-0.0040000000000000036
warranty,8,0.225,12,0.116,20,0.109
btwn,0,0.0,20,0.193,20,-0.193
working correctly,1,0.028,19,0.183,20,-0.155
bosch suzhou,3,0.085,17,0.164,20,-0.079
falling,0,0.0,20,0.193,20,-0.193
yellow discoloration,0,0.0,20,0.193,20,-0.193
correct func,0,0.0,20,0.193,20,-0.193
displayed,6,0.169,14,0.135,20,0.034
stuck btwn,0,0.0,20,0.193,20,-0.193
multiple,3,0.085,17,0.164,20,-0.079
side,1,0.028,19,0.183,20,-0.155
slovakia,2,0.056,18,0.174,20,-0.118
visteon s6j32eeltmsc2000a,8,0.225,12,0.116,20,0.109
s6j32eeltmsc2000a,8,0.225,12,0.116,20,0.109
debris falling,0,0.0,20,0.193,20,-0.193
visteon slovakia,2,0.056,18,0.174,20,-0.118
da202204,0,0.0,20,0.193,20,-0.193
rom,2,0.056,18,0.174,20,-0.118
cp9193at,0,0.0,20,0.193,20,-0.193
clarion,3,0.085,17,0.164,20,-0.079
component defect,0,0.0,20,0.193,20,-0.193
project found,2,0.056,18,0.174,20,-0.118
panel,6,0.169,14,0.135,20,0.034
btwn chip,0,0.0,20,0.193,20,-0.193
automotive,6,0.169,14,0.135,20,0.034
failur,4,0.113,16,0.154,20,-0.040999999999999995
s6j32eeltmsc2000a need,8,0.225,12,0.116,20,0.109
vext short,19,0.536,1,0.01,20,0.526
data all,0,0.0,19,0.183,19,-0.183
pcs abnormal,0,0.0,19,0.183,19,-0.183
gsae1,12,0.338,7,0.068,19,0.27
ausfall,1,0.028,18,0.174,19,-0.146
signal output,4,0.113,15,0.145,19,-0.03199999999999999
need ate,0,0.0,19,0.183,19,-0.183
p10,6,0.169,13,0.125,19,0.04400000000000001
i2c communication,6,0.169,13,0.125,19,0.04400000000000001
response,3,0.085,16,0.154,19,-0.06899999999999999
prag,7,0.197,12,0.116,19,0.081
cy8ctma1036aa,10,0.282,9,0.087,19,0.19499999999999998
vddp3 short,18,0.507,1,0.01,19,0.497
autron hyundai,1,0.028,18,0.174,19,-0.146
metro,7,0.197,12,0.116,19,0.081
version register,0,0.0,19,0.183,19,-0.183
register read,0,0.0,19,0.183,19,-0.183
cyat81682,2,0.056,17,0.164,19,-0.10800000000000001
gpio,8,0.225,11,0.106,19,0.11900000000000001
mcu reset,2,0.056,17,0.164,19,-0.10800000000000001
hot,6,0.169,13,0.125,19,0.04400000000000001
internal short,15,0.423,4,0.039,19,0.384
meet,1,0.028,18,0.174,19,-0.146
returen,0,0.0,19,0.183,19,-0.183
show,7,0.197,12,0.116,19,0.081
valeo,0,0.0,19,0.183,19,-0.183
metro prag,7,0.197,12,0.116,19,0.081
ford,2,0.056,17,0.164,19,-0.10800000000000001
channel,1,0.028,18,0.174,19,-0.146
s6bp401am2sn1b000,6,0.169,13,0.125,19,0.04400000000000001
waveform abnormal,2,0.056,16,0.154,18,-0.098
resistance between,11,0.31,7,0.068,18,0.242
devices,7,0.197,11,0.106,18,0.09100000000000001
